Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637173665.428414,1637173665.540499,0,112.08486557006836,falcon1024,1000,delay,100ms,7,5,8855,1329,11,5,8697,983,
1637173666.782129,1637173666.8979,1,115.77105522155762,falcon1024,1000,delay,100ms,7,5,8851,1329,11,5,8693,983,
1637173668.133567,1637173668.24642,2,112.85281181335449,falcon1024,1000,delay,100ms,7,5,8851,1329,11,5,8693,983,
1637173669.488096,1637173669.600726,3,112.62989044189453,falcon1024,1000,delay,100ms,8,5,8934,1329,11,5,8734,983,
1637173670.837429,1637173670.9513,4,113.87085914611816,falcon1024,1000,delay,100ms,7,5,8852,1329,11,5,8694,983,
1637173672.192499,1637173672.306187,5,113.68799209594727,falcon1024,1000,delay,100ms,7,5,8854,1329,11,5,8696,983,
1637173673.545507,1637173673.660609,6,115.10205268859863,falcon1024,1000,delay,100ms,7,5,8850,1329,11,5,8692,983,
1637173674.896056,1637173675.011706,7,115.65017700195312,falcon1024,1000,delay,100ms,8,5,8930,1329,11,5,8730,983,
1637173676.267358,1637173676.382104,8,114.7458553314209,falcon1024,1000,delay,100ms,7,5,8845,1329,11,5,8687,983,
1637173677.668219,1637173677.8903,9,222.08094596862793,falcon1024,1000,delay,100ms,8,5,8938,1329,12,5,8738,983,
1637173679.026079,1637173679.141012,10,114.93301391601562,falcon1024,1000,delay,100ms,7,5,8852,1329,11,5,8694,983,
1637173680.383871,1637173680.49781,11,113.93880844116211,falcon1024,1000,delay,100ms,8,5,8931,1329,11,5,8731,983,
1637173681.753475,1637173681.86653,12,113.05499076843262,falcon1024,1000,delay,100ms,7,5,8855,1329,11,5,8697,983,
1637173683.101482,1637173683.213703,13,112.22100257873535,falcon1024,1000,delay,100ms,8,5,8944,1329,11,5,8744,983,
1637173684.462404,1637173684.577254,14,114.85004425048828,falcon1024,1000,delay,100ms,8,5,8936,1329,11,5,8736,983,
1637173685.81698,1637173685.933467,15,116.48702621459961,falcon1024,1000,delay,100ms,8,5,8949,1329,11,5,8749,983,
1637173687.175231,1637173687.288803,16,113.5721206665039,falcon1024,1000,delay,100ms,8,5,8935,1329,11,5,8735,983,
1637173688.532922,1637173688.750459,17,217.53692626953125,falcon1024,1000,delay,100ms,10,5,9119,1329,13,5,8835,983,
1637173689.888221,1637173690.001113,18,112.89191246032715,falcon1024,1000,delay,100ms,8,5,8928,1329,11,5,8728,983,
1637173691.239276,1637173691.351465,19,112.18905448913574,falcon1024,1000,delay,100ms,7,5,8847,1329,11,5,8689,983,
1637173692.597201,1637173692.70995,20,112.74886131286621,falcon1024,1000,delay,100ms,7,5,8850,1329,11,5,8692,983,
1637173693.957296,1637173694.075192,21,117.89608001708984,falcon1024,1000,delay,100ms,8,5,8944,1329,11,5,8744,983,
1637173695.32799,1637173695.443732,22,115.74196815490723,falcon1024,1000,delay,100ms,7,5,8849,1329,11,5,8691,983,
1637173696.676773,1637173696.789427,23,112.65397071838379,falcon1024,1000,delay,100ms,8,5,8937,1329,11,5,8737,983,
1637173698.032257,1637173698.246847,24,214.58983421325684,falcon1024,1000,delay,100ms,8,5,8937,1329,12,5,8737,983,
1637173699.384618,1637173699.501791,25,117.1729564666748,falcon1024,1000,delay,100ms,7,5,8860,1329,11,5,8702,983,
1637173700.76762,1637173700.882094,26,114.47381973266602,falcon1024,1000,delay,100ms,7,5,8858,1329,11,5,8700,983,
1637173702.124062,1637173702.241583,27,117.52104759216309,falcon1024,1000,delay,100ms,7,5,8850,1329,11,5,8692,983,
1637173703.487772,1637173703.600796,28,113.02399635314941,falcon1024,1000,delay,100ms,7,5,8847,1329,11,5,8689,983,
1637173704.853509,1637173704.96657,29,113.06095123291016,falcon1024,1000,delay,100ms,8,5,8935,1329,11,5,8735,983,
1637173706.205653,1637173706.318181,30,112.52808570861816,falcon1024,1000,delay,100ms,8,5,8941,1329,11,5,8741,983,
1637173707.554142,1637173707.666528,31,112.38598823547363,falcon1024,1000,delay,100ms,7,5,8858,1329,11,5,8700,983,
1637173708.899102,1637173709.017492,32,118.39008331298828,falcon1024,1000,delay,100ms,7,5,8856,1329,11,5,8698,983,
1637173710.254978,1637173710.375209,33,120.23115158081055,falcon1024,1000,delay,100ms,8,5,8940,1329,11,5,8740,983,
1637173711.618059,1637173711.833595,34,215.53611755371094,falcon1024,1000,delay,100ms,9,5,9037,1329,12,5,8795,983,
1637173712.970906,1637173713.186882,35,215.97599983215332,falcon1024,1000,delay,100ms,8,5,8930,1329,12,5,8730,983,
1637173714.316686,1637173714.435727,36,119.04096603393555,falcon1024,1000,delay,100ms,7,5,8853,1329,11,5,8695,983,
1637173715.671589,1637173715.79248,37,120.89109420776367,falcon1024,1000,delay,100ms,8,5,8946,1329,11,5,8746,983,
1637173717.037219,1637173717.252393,38,215.17395973205566,falcon1024,1000,delay,100ms,9,5,9030,1329,12,5,8788,983,
1637173718.39545,1637173718.612749,39,217.2989845275879,falcon1024,1000,delay,100ms,8,5,8931,1329,12,5,8731,983,
1637173719.764012,1637173719.986349,40,222.337007522583,falcon1024,1000,delay,100ms,9,5,9029,1329,12,5,8787,983,
1637173721.115467,1637173721.231282,41,115.8149242401123,falcon1024,1000,delay,100ms,7,5,8846,1329,11,5,8688,983,
